選舉年度,選舉別,選舉類別,屆任次,投票日期,地區別,人口數,選舉人數,候選人數,當選人數,投票數合計,有效票數,無效票數,選舉人數對人口數_pct,投票率_pct,當選對候選_pct
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,澎湖縣,106891,90235,29,19,52815,50762,2053,84.42,58.53,65.52
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,基隆市,361114,306929,56,31,184791,181138,3653,85,60.21,55.36
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,新竹市,451203,349524,62,34,220116,214381,5735,77.46,62.98,54.84
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,嘉義市,262591,213640,40,23,116289,114088,2201,81.36,54.43,57.5
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,福建省,154914,133998,47,28,56676,55339,1337,86.5,42.3,59.57
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,金門縣,140938,122194,32,19,48063,46880,1183,86.7,39.33,59.38
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,連江縣,13976,11804,15,9,8613,8459,154,84.46,72.97,60
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,總計,15000901,10069401,827,319,6447382,6255321,192061,67.13,64.03,38.57
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,台灣省,14945320,10030245,805,309,6416023,6224920,191103,67.11,63.97,38.39
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,臺北縣,3388741,2236468,74,29,1071306,1044573,26733,66,47.9,39.19
