選舉年度,選舉別,選舉類別,屆任次,投票日期,地區別,人口數,選舉人數,候選人數,當選人數,投票數合計,有效票數,無效票數,選舉人數對人口數_pct,投票率_pct,當選對候選_pct
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,21311885,14313288,4,1,10883279,10766119,117160,67.16,76.04,25
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,22134777,15462625,5,1,12786671,12664393,122278,69.86,82.69,20
2004,第 11 任 總統(副總統)選舉,總統(副總統)選舉,11,2004-03-20,台閩地區,22573965,16507179,2,1,13251719,12914422,337297,73.12,80.28,50
2008,第 12 任 總統(副總統)選舉,總統(副總統)選舉,12,2008-03-22,台閩地區,22925311,17321622,4,2,13221609,13103963,117646,75.56,76.33,50
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,23224912,18086455,3,1,13452016,13354305,97711,77.88,74.38,33.33
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,23483793,18782991,3,1,12448302,12284970,163332,79.98,66.27,33.33
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,23598776,19311105,3,1,14464571,14300940,163631,81.83,74.9,33.33
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,23415008,19548531,3,1,14048311,13947506,100805,83.49,71.86,33.33
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,16960902,11184258,5,1,8517124,8405930,111194,65.94,76.15,20
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,2651419,1816986,4,1,1426852,1408554,18298,68.53,78.53,25
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,1413240,926318,5,1,746469,735886,10583,65.55,80.58,20
1998,第 02 屆 直轄市台北市長選舉,直轄市台北市長選舉,02,1998-12-05,台北市,2622171,1868860,3,1,1511635,1498901,12734,71.27,80.89,33.33
1998,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,1998-12-05,高雄市,1454439,1004872,4,1,807996,796185,11811,69.09,80.41,25
2002,第 03 屆 直轄市台北市長選舉,直轄市台北市長選舉,03,2002-12-07,台北市,2639094,1947169,2,1,1374862,1361913,12949,73.78,70.61,50
2002,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2002-12-07,高雄市,1508761,1092668,5,1,779911,772157,7754,72.42,71.38,20
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,2627474,2008434,6,1,1295790,1286089,9701,76.44,64.52,16.67
2006,第 04 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2006-12-09,高雄市,1512255,1140110,5,1,774490,767868,6622,75.39,67.93,20
2010,第 05 屆 直轄市台北市長選舉,直轄市台北市長選舉,05,2010-11-27,台北市,2608923,2045925,5,1,1445370,1433736,11634,78.42,70.65,20
2010,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,2010-11-27,高雄市,2772777,2166119,3,1,1570895,1555210,15685,78.12,72.52,33.33
2010,第 01 屆 直轄市新北市長選舉,直轄市新北市長選舉,01,2010-11-27,新北市,3892603,3006877,2,1,2142410,2120436,21974,77.25,71.25,50
2010,第 01 屆 直轄市台中市長選舉,直轄市台中市長選舉,01,2010-11-27,臺中市,2645194,1977368,2,1,1446519,1428642,17877,74.75,73.15,50
2010,第 01 屆 直轄市台南市長選舉,直轄市台南市長選舉,01,2010-11-27,臺南市,1873754,1467256,2,1,1041941,1026093,15848,78.31,71.01,50
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,2697644,2146939,7,1,1512724,1494046,18678,79.59,70.46,14.29
2014,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,2014-11-29,高雄市,2777773,2231225,3,1,1482425,1458872,23553,80.32,66.44,33.33
2014,第 02 屆 直轄市新北市長選舉,直轄市新北市長選舉,02,2014-11-29,新北市,3962920,3156402,3,1,1946063,1916283,29780,79.65,61.65,33.33
2014,第 02屆 直轄市台中市長選舉,直轄市台中市長選舉,02,2014-11-29,臺中市,2714642,2093689,2,1,1506023,1484815,21208,77.13,71.93,50
2014,第 02 屆 直轄市台南市長選舉,直轄市台南市長選舉,02,2014-11-29,臺南市,1883562,1512778,2,1,996688,976093,20595,80.31,65.88,50
2014,第 01 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,01,2014-11-29,桃園市,2055259,1568713,3,1,984099,965490,18609,76.33,62.73,33.33
2018,第 07 屆 直轄市台北市長選舉,直轄市台北市長選舉,07,2018-11-24,台北市,2669874,2164155,5,1,1427225,1413870,13355,81.06,65.95,20
2018,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2018-11-24,高雄市,2772624,2281338,4,1,1677650,1656907,20743,82.28,73.54,25
2018,第 03 屆 直轄市新北市長選舉,直轄市新北市長選舉,03,2018-11-24,新北市,3992291,3264128,2,1,2089127,2038822,50305,81.76,64,50
2018,第 03 屆 直轄市台中市長選舉,直轄市台中市長選舉,03,2018-11-24,臺中市,2799254,2213789,3,1,1493365,1463770,29595,79.08,67.46,33.33
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,1883804,1546862,6,1,990204,966670,23534,82.11,64.01,16.67
2018,第 02 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,02,2018-11-24,桃園市,2215615,1732591,5,1,1050527,1033149,17378,78.2,60.63,20
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,2465610,2026769,12,1,1372179,1360951,11228,82.2,67.7,8.33
2022,第 04屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2022-11-26,高雄市,2723495,2282623,4,1,1337819,1318733,19086,83.81,58.61,25
2022,第 04屆 直轄市新北市長選舉,直轄市新北市長選舉,04,2022-11-26,新北市,3982363,3316517,2,1,1877186,1846531,30655,83.28,56.6,50
2022,第 04 屆 直轄市台中市長選舉,直轄市台中市長選舉,04,2022-11-26,臺中市,2806458,2274107,3,1,1364629,1346471,18158,81.03,60.01,33.33
2022,第 04 屆 直轄市台南市長選舉,直轄市台南市長選舉,04,2022-11-26,臺南市,1850955,1548203,5,1,908533,888674,19859,83.64,58.68,20
2022,第 03 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,03,2022-11-26,桃園市,2273968,1825127,4,1,1085225,1071763,13462,80.26,59.46,25
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,總計,16764893,10841653,77,23,7662724,7531045,131679,64.67,70.68,29.87
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,台灣省,16713807,10811061,73,21,7639769,7508690,131079,64.68,70.67,28.77
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺北縣,3168856,1999063,5,1,1342035,1322128,19907,63.08,67.13,20
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,宜蘭縣,458456,303573,3,1,205482,203449,2033,66.22,67.69,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,桃園縣,1427805,896142,4,1,616112,602948,13164,62.76,68.75,25
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,新竹縣,388184,252088,3,1,199144,195227,3917,64.94,79,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,苗栗縣,553399,364438,6,1,292789,286741,6048,65.85,80.34,16.67
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺中縣,1332836,827513,2,1,618968,601641,17327,62.09,74.8,50
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,彰化縣,1267475,806692,4,1,576202,565412,10790,63.65,71.43,25
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,南投縣,542124,359172,3,1,244133,240985,3148,66.25,67.97,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,雲林縣,753224,507697,3,1,311746,306010,5736,67.4,61.4,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,嘉義縣,558121,384219,5,1,288938,284116,4822,68.84,75.2,20
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺南縣,1051314,705430,3,1,517156,509923,7233,67.1,73.31,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,高雄縣,1152501,754399,4,1,557342,548677,8665,65.46,73.88,25
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,屏東縣,902457,604040,4,1,450045,445334,4711,66.93,74.51,25
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺東縣,254776,172086,3,1,100296,98688,1608,67.54,58.28,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,花蓮縣,356124,238197,3,1,150566,147852,2714,66.89,63.21,33.33
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,澎湖縣,94929,64455,2,1,44099,43578,521,67.9,68.42,50
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,基隆市,360495,240852,2,1,172707,169753,2954,66.81,71.71,50
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,新竹市,333104,215536,4,1,152670,150334,2336,64.71,70.83,25
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺中市,802355,501770,2,1,336815,330277,6538,62.54,67.13,50
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,嘉義市,258464,166674,3,1,107763,106599,1164,64.49,64.65,33.33
