選舉年度,選舉別,選舉概況表_url,候選人得票明細_url,候選人資歷統計_pdf,當選人資歷統計_pdf,政黨得票統計_pdf,政黨候選人數與當選席次_pdf
2018,第 03 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89@8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89@I><88888888iii((,https://vote.nccu.edu.tw/cec/D2018643.PDF,https://vote.nccu.edu.tw/cec/D2018644.PDF,https://vote.nccu.edu.tw/cec/D2018645.PDF,https://vote.nccu.edu.tw/cec/D2018646.PDF
2018,第 03 屆 直轄市新北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89@8>=88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89@I>=88888888iii((,https://vote.nccu.edu.tw/cec/D2018653.PDF,https://vote.nccu.edu.tw/cec/D2018654.PDF,https://vote.nccu.edu.tw/cec/D2018655.PDF,https://vote.nccu.edu.tw/cec/D2018656.PDF
2018,第 03 屆 直轄市台中市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89@8>>88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89@I>>88888888iii((,https://vote.nccu.edu.tw/cec/D2018663.PDF,https://vote.nccu.edu.tw/cec/D2018664.PDF,https://vote.nccu.edu.tw/cec/D2018665.PDF,https://vote.nccu.edu.tw/cec/D2018666.PDF
2018,第 03 屆 直轄市台南市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89@8>?88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89@I>?88888888iii((,https://vote.nccu.edu.tw/cec/D2018673.PDF,https://vote.nccu.edu.tw/cec/D2018674.PDF,https://vote.nccu.edu.tw/cec/D2018675.PDF,https://vote.nccu.edu.tw/cec/D2018676.PDF
2018,第 02 屆 直轄市桃園市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89@8>@88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89@I>@88888888iii((,https://vote.nccu.edu.tw/cec/D2018683.PDF,https://vote.nccu.edu.tw/cec/D2018684.PDF,https://vote.nccu.edu.tw/cec/D2018685.PDF,https://vote.nccu.edu.tw/cec/D2018686.PDF
2022,第 08 屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8::8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:8::I>;88888888iii((,https://vote.nccu.edu.tw/cec/D2022633.PDF,https://vote.nccu.edu.tw/cec/D2022634.PDF,https://vote.nccu.edu.tw/cec/D2022635.PDF,https://vote.nccu.edu.tw/cec/D2022636.PDF
2022,第 04屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8::8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:8::I><88888888iii((,https://vote.nccu.edu.tw/cec/D2022643.PDF,https://vote.nccu.edu.tw/cec/D2022644.PDF,https://vote.nccu.edu.tw/cec/D2022645.PDF,https://vote.nccu.edu.tw/cec/D2022646.PDF
2022,第 04屆 直轄市新北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8::8>=88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:8::I>=88888888iii((,https://vote.nccu.edu.tw/cec/D2022653.PDF,https://vote.nccu.edu.tw/cec/D2022654.PDF,https://vote.nccu.edu.tw/cec/D2022655.PDF,https://vote.nccu.edu.tw/cec/D2022656.PDF
2022,第 04 屆 直轄市台中市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8::8>>88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:8::I>>88888888iii((,https://vote.nccu.edu.tw/cec/D2022663.PDF,https://vote.nccu.edu.tw/cec/D2022664.PDF,https://vote.nccu.edu.tw/cec/D2022665.PDF,https://vote.nccu.edu.tw/cec/D2022666.PDF
2022,第 04 屆 直轄市台南市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8::8>?88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:8::I>?88888888iii((,https://vote.nccu.edu.tw/cec/D2022673.PDF,https://vote.nccu.edu.tw/cec/D2022674.PDF,https://vote.nccu.edu.tw/cec/D2022675.PDF,https://vote.nccu.edu.tw/cec/D2022676.PDF
2022,第 03 屆 直轄市桃園市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8::8>@88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:8::I>@88888888iii((,https://vote.nccu.edu.tw/cec/D2022683.PDF,https://vote.nccu.edu.tw/cec/D2022684.PDF,https://vote.nccu.edu.tw/cec/D2022685.PDF,https://vote.nccu.edu.tw/cec/D2022686.PDF
1994,第 10 屆 台灣省議員選舉,,,https://vote.nccu.edu.tw/cec/E1994623.PDF,https://vote.nccu.edu.tw/cec/E1994624.PDF,https://vote.nccu.edu.tw/cec/E1994625.PDF,https://vote.nccu.edu.tw/cec/E1994626.PDF
1994,第 07 屆 直轄市台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E1994633.PDF,https://vote.nccu.edu.tw/cec/E1994634.PDF,https://vote.nccu.edu.tw/cec/E1994635.PDF,https://vote.nccu.edu.tw/cec/E1994636.PDF
1994,第 04 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E1994643.PDF,https://vote.nccu.edu.tw/cec/E1994644.PDF,https://vote.nccu.edu.tw/cec/E1994645.PDF,https://vote.nccu.edu.tw/cec/E1994646.PDF
1998,第 08 屆 直轄市台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E1998633.PDF,https://vote.nccu.edu.tw/cec/E1998634.PDF,https://vote.nccu.edu.tw/cec/E1998635.PDF,https://vote.nccu.edu.tw/cec/E1998636.PDF
1998,第 05 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E1998643.PDF,https://vote.nccu.edu.tw/cec/E1998644.PDF,https://vote.nccu.edu.tw/cec/E1998645.PDF,https://vote.nccu.edu.tw/cec/E1998646.PDF
2002,第 09 屆 直轄市台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2002633.PDF,https://vote.nccu.edu.tw/cec/E2002634.PDF,https://vote.nccu.edu.tw/cec/E2002635.PDF,https://vote.nccu.edu.tw/cec/E2002636.PDF
2002,第 06 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E2002643.PDF,https://vote.nccu.edu.tw/cec/E2002644.PDF,https://vote.nccu.edu.tw/cec/E2002645.PDF,https://vote.nccu.edu.tw/cec/E2002646.PDF
2006,第 10 屆 直轄市台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2006633.PDF,https://vote.nccu.edu.tw/cec/E2006634.PDF,https://vote.nccu.edu.tw/cec/E2006635.PDF,https://vote.nccu.edu.tw/cec/E2006636.PDF
2006,第 07 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E2006643.PDF,https://vote.nccu.edu.tw/cec/E2006644.PDF,https://vote.nccu.edu.tw/cec/E2006645.PDF,https://vote.nccu.edu.tw/cec/E2006646.PDF
2010,第 11 屆 台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2010633.PDF,https://vote.nccu.edu.tw/cec/E2010634.PDF,https://vote.nccu.edu.tw/cec/E2010635.PDF,https://vote.nccu.edu.tw/cec/E2010636.PDF
2010,第 01 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E2010643.PDF,https://vote.nccu.edu.tw/cec/E2010644.PDF,https://vote.nccu.edu.tw/cec/E2010645.PDF,https://vote.nccu.edu.tw/cec/E2010646.PDF
