選舉年度,選舉別,選舉類別,屆任次,投票日期,地區,號次,姓名,性別,出生年次,推薦政黨,得票數,得票率,當選否,是否現任,副手姓名,副手性別,副手出生年次
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,01,陳履安,M,1937,無黨籍及未經政黨推薦,1074044,9.98,N,N,王清峰,F,1952
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,02,李登輝,M,1923,中國國民黨,5813699,54,Y,Y,連戰,M,1936
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,03,彭明敏,M,1923,民主進步黨,2274586,21.13,N,N,謝長廷,M,1946
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,04,林洋港,M,1927,無黨籍及未經政黨推薦,1603790,14.9,N,N,郝柏村,M,1919
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,01,宋楚瑜,M,1942,無黨籍及未經政黨推薦,4664972,36.84,N,N,張昭雄,M,1942
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,02,連戰,M,1936,中國國民黨,2925513,23.1,N,N,蕭萬長,M,1939
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,03,李敖,M,1937,新黨,16782,0.13,N,N,馮滬祥,M,1948
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,04,許信良,M,1941,無黨籍及未經政黨推薦,79429,0.63,N,N,朱惠良,F,1950
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,05,陳水扁,M,1951,民主進步黨,4977697,39.3,Y,N,呂秀蓮,F,1944
2004,第 11 任 總統(副總統)選舉,總統(副總統)選舉,11,2004-03-20,台閩地區,01,陳水扁,M,1951,民主進步黨,6471970,50.11,Y,Y,呂秀蓮,F,1944
2004,第 11 任 總統(副總統)選舉,總統(副總統)選舉,11,2004-03-20,台閩地區,02,連戰,M,1936,中國國民黨,6442452,49.89,N,N,宋楚瑜,M,1942
2008,第 12 任 總統(副總統)選舉,總統(副總統)選舉,12,2008-03-22,台閩地區,01,謝長廷,M,1946,民主進步黨,5444949,41.55,N,N,蘇貞昌,M,1947
2008,第 12 任 總統(副總統)選舉,總統(副總統)選舉,12,2008-03-22,台閩地區,02,馬英九,M,1950,中國國民黨,7659014,58.45,Y,N,蕭萬長,M,1939
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,01,蔡英文,F,1956,民主進步黨,6093578,45.63,N,N,蘇嘉全,M,1956
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,02,馬英九,M,1950,中國國民黨,6891139,51.6,Y,Y,吳敦義,M,1948
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,03,宋楚瑜,M,1942,親民黨,369588,2.77,N,N,林瑞雄,M,1940
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,01,朱立倫,M,1961,中國國民黨,3813365,31.04,N,N,王如玄,F,1961
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,02,蔡英文,F,1956,民主進步黨,6894744,56.12,Y,N,陳建仁,M,1951
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,03,宋楚瑜,M,1942,親民黨,1576861,12.83,N,N,徐欣瑩,F,1972
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,01,宋楚瑜,M,1942,親民黨,608590,4.2556,N,N,余湘(副總統),F,1959
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,02,韓國瑜,M,1957,中國國民黨,5522119,38.6137,N,N,張善政(副總統),M,1954
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,03,蔡英文,F,1956,民主進步黨,8170231,57.1307,Y,Y,賴清德(副總統),M,1959
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,01,柯文哲,M,1959,台灣民眾黨,3690466,26.46,N,N,吳欣盈,F,1978
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,02,賴清德,M,1959,民主進步黨,5586019,40.05,Y,Y,蕭美琴,F,1971
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,03,侯友宜,M,1957,中國國民黨,4671021,33.49,N,N,趙少康,M,1950
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,01,蔡正治,M,1943,無黨籍及未經政黨推薦,37256,0.44,N,N,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,02,朱高正,M,1953,新黨,362377,4.31,N,N,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,03,宋楚瑜,M,1942,中國國民黨,4726012,56.22,Y,Y,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,04,吳梓,M,1939,無黨籍及未經政黨推薦,25398,0.3,N,N,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,05,陳定南,M,1942,民主進步黨,3254887,38.72,N,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,01,紀榮治,M,1944,無黨籍及未經政黨推薦,3941,0.28,N,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,02,趙少康,M,1949,新黨,424905,30.17,N,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,03,陳水扁,M,1951,民主進步黨,615090,43.67,Y,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,04,黃大洲,M,1936,中國國民黨,364618,25.89,N,Y,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,01,吳敦義,M,1948,中國國民黨,400766,54.46,Y,Y,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,02,施鐘響,M,1937,無黨籍及未經政黨推薦,13084,1.78,N,N,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,03,張俊雄,M,1937,民主進步黨,289110,39.29,N,N,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,04,鄭德耀,M,1951,無黨籍及未經政黨推薦,7513,1.02,N,N,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,05,湯阿根,M,1936,新黨,25413,3.45,N,N,,,
1998,第 02 屆 直轄市台北市長選舉,直轄市台北市長選舉,02,1998-12-05,台北市,01,馬英九,M,1950,中國國民黨,766377,51.13,Y,N,,,
1998,第 02 屆 直轄市台北市長選舉,直轄市台北市長選舉,02,1998-12-05,台北市,02,陳水扁,M,1952,民主進步黨,688072,45.91,N,Y,,,
1998,第 02 屆 直轄市台北市長選舉,直轄市台北市長選舉,02,1998-12-05,台北市,03,王建火宣,M,1938,新黨,44452,2.97,N,N,,,
1998,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,1998-12-05,高雄市,01,吳建國,M,1950,新黨,6457,0.81,N,N,,,
1998,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,1998-12-05,高雄市,02,鄭德耀,M,1951,無黨籍及未經政黨推薦,18699,2.35,N,N,,,
1998,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,1998-12-05,高雄市,03,謝長廷,M,1946,民主進步黨,387797,48.71,Y,N,,,
1998,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,1998-12-05,高雄市,04,吳敦義,M,1948,中國國民黨,383232,48.13,N,Y,,,
2002,第 03 屆 直轄市台北市長選舉,直轄市台北市長選舉,03,2002-12-07,台北市,01,李應元,M,1952,民主進步黨,488811,35.89,N,N,,,
2002,第 03 屆 直轄市台北市長選舉,直轄市台北市長選舉,03,2002-12-07,台北市,02,馬英九,M,1950,中國國民黨,873102,64.11,Y,Y,,,
2002,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2002-12-07,高雄市,01,施明德,M,1941,無黨籍及未經政黨推薦,8750,1.13,N,N,,,
2002,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2002-12-07,高雄市,02,張博雅,F,1942,無黨籍及未經政黨推薦,13479,1.75,N,N,,,
2002,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2002-12-07,高雄市,03,黃天生,M,1946,無黨籍及未經政黨推薦,1998,0.26,N,N,,,
2002,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2002-12-07,高雄市,04,黃俊英,M,1942,中國國民黨,361546,46.82,N,N,,,
2002,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2002-12-07,高雄市,05,謝長廷,M,1946,民主進步黨,386384,50.04,Y,Y,,,
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,01,李敖,M,1937,無黨籍及未經政黨推薦,7795,0.61,N,N,,,
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,02,周玉蔻,F,1953,台灣團結聯盟,3372,0.26,N,N,,,
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,03,謝長廷,M,1946,民主進步黨,525869,40.89,N,N,,,
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,04,宋楚瑜,M,1942,無黨籍及未經政黨推薦,53281,4.14,N,N,,,
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,05,郝龍斌,M,1952,中國國民黨,692085,53.81,Y,N,,,
2006,第 04 屆 直轄市台北市長選舉,直轄市台北市長選舉,04,2006-12-09,台北市,06,柯賜海,M,1956,無黨籍及未經政黨推薦,3687,0.29,N,N,,,
2006,第 04 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2006-12-09,高雄市,01,黃俊英,M,1941,中國國民黨,378303,49.27,N,N,,,
2006,第 04 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2006-12-09,高雄市,02,林志昇,M,1950,保護台灣大聯盟,1746,0.23,N,N,,,
2006,第 04 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2006-12-09,高雄市,03,羅志明,M,1957,台灣團結聯盟,6599,0.86,N,N,,,
2006,第 04 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2006-12-09,高雄市,04,林景元,M,1925,無黨籍及未經政黨推薦,1803,0.23,N,N,,,
2006,第 04 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2006-12-09,高雄市,05,陳 菊,F,1950,民主進步黨,379417,49.41,Y,N,,,
2010,第 05 屆 直轄市台北市長選舉,直轄市台北市長選舉,05,2010-11-27,台北市,01,吳炎成,M,1942,無黨籍及未經政黨推薦,1832,0.13,N,N,,,
2010,第 05 屆 直轄市台北市長選舉,直轄市台北市長選舉,05,2010-11-27,台北市,02,郝龍斌,M,1952,中國國民黨,797865,55.65,Y,Y,,,
2010,第 05 屆 直轄市台北市長選舉,直轄市台北市長選舉,05,2010-11-27,台北市,03,蕭淑華,F,1961,無黨籍及未經政黨推薦,2238,0.16,N,N,,,
2010,第 05 屆 直轄市台北市長選舉,直轄市台北市長選舉,05,2010-11-27,台北市,04,吳武明,M,1957,無黨籍及未經政黨推薦,3672,0.26,N,N,,,
2010,第 05 屆 直轄市台北市長選舉,直轄市台北市長選舉,05,2010-11-27,台北市,05,蘇貞昌,M,1947,民主進步黨,628129,43.81,N,N,,,
2010,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,2010-11-27,高雄市,01,楊秋興,M,1956,無黨籍及未經政黨推薦,414950,26.68,N,N,,,
2010,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,2010-11-27,高雄市,02,黃昭順,F,1953,中國國民黨,319171,20.52,N,N,,,
2010,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,2010-11-27,高雄市,03,陳菊,F,1950,民主進步黨,821089,52.8,Y,N,,,
2010,第 01 屆 直轄市新北市長選舉,直轄市新北市長選舉,01,2010-11-27,新北市,01,朱立倫,M,1961,中國國民黨,1115536,52.61,Y,N,,,
2010,第 01 屆 直轄市新北市長選舉,直轄市新北市長選舉,01,2010-11-27,新北市,02,蔡英文,F,1956,民主進步黨,1004900,47.39,N,N,,,
2010,第 01 屆 直轄市台中市長選舉,直轄市台中市長選舉,01,2010-11-27,臺中市,01,蘇嘉全,M,1956,民主進步黨,698358,48.88,N,N,,,
2010,第 01 屆 直轄市台中市長選舉,直轄市台中市長選舉,01,2010-11-27,臺中市,02,胡志強,M,1948,中國國民黨,730284,51.12,Y,N,,,
2010,第 01 屆 直轄市台南市長選舉,直轄市台南市長選舉,01,2010-11-27,臺南市,01,郭添財,M,1962,中國國民黨,406196,39.59,N,N,,,
2010,第 01 屆 直轄市台南市長選舉,直轄市台南市長選舉,01,2010-11-27,臺南市,02,賴清德,M,1959,民主進步黨,619897,60.41,Y,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,01,陳汝斌,M,1937,三等國民公義人權自救黨,1624,0.11,N,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,02,趙衍慶,M,1936,無黨籍及未經政黨推薦,15898,1.06,N,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,03,李宏信,M,1940,無黨籍及未經政黨推薦,2621,0.18,N,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,04,陳永昌,M,1952,無黨籍及未經政黨推薦,1908,0.13,N,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,05,馮光遠,M,1953,無黨籍及未經政黨推薦,8080,0.54,N,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,06,連勝文,M,1970,中國國民黨,609932,40.82,N,N,,,
2014,第 06屆 直轄市台北市長選舉,直轄市台北市長選舉,06,2014-11-29,台北市,07,柯文哲,M,1959,無黨籍及未經政黨推薦,853983,57.16,Y,N,,,
2014,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,2014-11-29,高雄市,01,周可盛,M,1957,無黨籍及未經政黨推薦,14925,1.02,N,N,,,
2014,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,2014-11-29,高雄市,02,陳菊,F,1950,民主進步黨,993300,68.09,Y,Y,,,
2014,第 02 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,02,2014-11-29,高雄市,03,楊秋興,M,1956,中國國民黨,450647,30.89,N,N,,,
2014,第 02 屆 直轄市新北市長選舉,直轄市新北市長選舉,02,2014-11-29,新北市,01,游錫?,M,1948,民主進步黨,934774,48.78,N,N,,,
2014,第 02 屆 直轄市新北市長選舉,直轄市新北市長選舉,02,2014-11-29,新北市,02,李進順,M,1960,無黨籍及未經政黨推薦,22207,1.16,N,N,,,
2014,第 02 屆 直轄市新北市長選舉,直轄市新北市長選舉,02,2014-11-29,新北市,03,朱立倫,M,1961,中國國民黨,959302,50.06,Y,Y,,,
2014,第 02屆 直轄市台中市長選舉,直轄市台中市長選舉,02,2014-11-29,臺中市,01,胡志強,M,1948,中國國民黨,637531,42.94,N,Y,,,
2014,第 02屆 直轄市台中市長選舉,直轄市台中市長選舉,02,2014-11-29,臺中市,02,林佳龍,M,1964,民主進步黨,847284,57.06,Y,N,,,
2014,第 02 屆 直轄市台南市長選舉,直轄市台南市長選舉,02,2014-11-29,臺南市,01,賴清德,M,1959,民主進步黨,711557,72.9,Y,Y,,,
2014,第 02 屆 直轄市台南市長選舉,直轄市台南市長選舉,02,2014-11-29,臺南市,02,黃秀霜,F,1961,中國國民黨,264536,27.1,N,N,,,
2014,第 01 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,01,2014-11-29,桃園市,01,鄭文燦,M,1967,民主進步黨,492414,51,Y,N,,,
2014,第 01 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,01,2014-11-29,桃園市,02,吳志揚,M,1969,中國國民黨,463133,47.97,N,N,,,
2014,第 01 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,01,2014-11-29,桃園市,03,許睿智,M,1938,無黨籍及未經政黨推薦,9943,1.03,N,N,,,
2018,第 07 屆 直轄市台北市長選舉,直轄市台北市長選舉,07,2018-11-24,台北市,01,吳?洋,M,1960,無黨籍及未經政黨推薦,5611,0.4,N,N,,,
2018,第 07 屆 直轄市台北市長選舉,直轄市台北市長選舉,07,2018-11-24,台北市,02,丁守中,M,1954,中國國民黨,577096,40.82,N,N,,,
2018,第 07 屆 直轄市台北市長選舉,直轄市台北市長選舉,07,2018-11-24,台北市,03,姚文智,M,1965,民主進步黨,244342,17.28,N,N,,,
2018,第 07 屆 直轄市台北市長選舉,直轄市台北市長選舉,07,2018-11-24,台北市,04,柯文哲,M,1959,無黨籍及未經政黨推薦,580663,41.07,Y,Y,,,
2018,第 07 屆 直轄市台北市長選舉,直轄市台北市長選舉,07,2018-11-24,台北市,05,李錫錕,M,1947,無黨籍及未經政黨推薦,6158,0.44,N,N,,,
2018,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2018-11-24,高雄市,01,韓國瑜,M,1957,中國國民黨,892545,53.86,Y,N,,,
2018,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2018-11-24,高雄市,02,陳其邁,M,1964,民主進步黨,742239,44.79,N,N,,,
2018,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2018-11-24,高雄市,03,璩美鳳,F,1966,無黨籍及未經政黨推薦,7998,0.48,N,N,,,
2018,第 03 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,03,2018-11-24,高雄市,04,蘇盈貴,M,1958,無黨籍及未經政黨推薦,14125,0.85,N,N,,,
2018,第 03 屆 直轄市新北市長選舉,直轄市新北市長選舉,03,2018-11-24,新北市,01,蘇貞昌,M,1947,民主進步黨,873692,42.85,N,N,,,
2018,第 03 屆 直轄市新北市長選舉,直轄市新北市長選舉,03,2018-11-24,新北市,02,侯友宜,M,1957,中國國民黨,1165130,57.14,Y,N,,,
2018,第 03 屆 直轄市台中市長選舉,直轄市台中市長選舉,03,2018-11-24,臺中市,01,宋原通,M,1959,無黨籍及未經政黨推薦,15919,1.08,N,N,,,
2018,第 03 屆 直轄市台中市長選舉,直轄市台中市長選舉,03,2018-11-24,臺中市,02,林佳龍,M,1964,民主進步黨,619855,42.34,N,Y,,,
2018,第 03 屆 直轄市台中市長選舉,直轄市台中市長選舉,03,2018-11-24,臺中市,03,盧秀燕,F,1961,中國國民黨,827996,56.56,Y,N,,,
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,01,黃偉哲,M,1963,民主進步黨,367518,38.01,Y,N,,,
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,02,高思博,M,1968,中國國民黨,312874,32.36,N,N,,,
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,03,林義豐,M,1948,無黨籍及未經政黨推薦,84153,8.7,N,N,,,
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,04,許忠信,M,1965,無黨籍及未經政黨推薦,45168,4.67,N,N,,,
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,05,陳永和,M,1960,無黨籍及未經政黨推薦,117179,12.12,N,N,,,
2018,第 03 屆 直轄市台南市長選舉,直轄市台南市長選舉,03,2018-11-24,臺南市,06,蘇煥智,M,1956,無黨籍及未經政黨推薦,39778,4.11,N,N,,,
2018,第 02 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,02,2018-11-24,桃園市,01,朱梅雪,M,1964,無黨籍及未經政黨推薦,18200,1.76,N,N,,,
2018,第 02 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,02,2018-11-24,桃園市,02,陳學聖,M,1957,中國國民黨,407234,39.41,N,N,,,
2018,第 02 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,02,2018-11-24,桃園市,03,楊麗環,F,1957,無黨籍及未經政黨推薦,51518,4.98,N,N,,,
2018,第 02 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,02,2018-11-24,桃園市,04,吳富彤,M,1959,無黨籍及未經政黨推薦,3867,0.37,N,N,,,
2018,第 02 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,02,2018-11-24,桃園市,05,鄭文燦,M,1967,民主進步黨,552330,53.46,Y,Y,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,01,張家豪,M,1985,台灣動物保護黨,2367,0.17,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,02,王文娟,F,1963,無黨籍及未經政黨推薦,451,0.03,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,03,鄭匡宇,M,1976,無黨籍及未經政黨推薦,386,0.03,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,04,黃聖峰,M,1979,台澎黨,256,0.02,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,05,童文薰,F,1965,無黨籍及未經政黨推薦,2425,0.18,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,06,蔣萬安,M,1978,中國國民黨,575590,42.29,Y,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,07,蘇煥智,M,1956,台灣維新,1851,0.14,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,08,黃珊珊,F,1969,無黨籍及未經政黨推薦,342141,25.14,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,09,施奉先,M,1958,無黨籍及未經政黨推薦,383,0.03,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,10,唐新民,M,1950,共和黨,316,0.02,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,11,謝立康,M,1970,無黨籍及未經政黨推薦,227,0.02,N,N,,,
2022,第 08 屆 直轄市台北市長選舉,直轄市台北市長選舉,08,2022-11-26,台北市,12,陳時中,M,1952,民主進步黨,434558,31.93,N,N,,,
2022,第 04屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2022-11-26,高雄市,01,鄭宇翔,M,1981,無黨籍及未經政黨推薦,8394,0.64,N,N,,,
2022,第 04屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2022-11-26,高雄市,02,曾尹儷,F,1963,無黨籍及未經政黨推薦,14585,1.11,N,N,,,
2022,第 04屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2022-11-26,高雄市,03,柯志恩,F,1962,中國國民黨,529607,40.16,N,N,,,
2022,第 04屆 直轄市高雄市長選舉,直轄市高雄市長選舉,04,2022-11-26,高雄市,04,陳其邁,M,1964,民主進步黨,766147,58.1,Y,Y,,,
2022,第 04屆 直轄市新北市長選舉,直轄市新北市長選舉,04,2022-11-26,新北市,01,林佳龍,M,1964,民主進步黨,693976,37.58,N,N,,,
2022,第 04屆 直轄市新北市長選舉,直轄市新北市長選舉,04,2022-11-26,新北市,02,侯友宜,M,1957,中國國民黨,1152555,62.42,Y,Y,,,
2022,第 04 屆 直轄市台中市長選舉,直轄市台中市長選舉,04,2022-11-26,臺中市,01,陳美妃,F,1971,無黨籍及未經政黨推薦,23140,1.72,N,N,,,
2022,第 04 屆 直轄市台中市長選舉,直轄市台中市長選舉,04,2022-11-26,臺中市,02,蔡其昌,M,1969,民主進步黨,524224,38.93,N,N,,,
2022,第 04 屆 直轄市台中市長選舉,直轄市台中市長選舉,04,2022-11-26,臺中市,03,盧秀燕,F,1961,中國國民黨,799107,59.35,Y,Y,,,
2022,第 04 屆 直轄市台南市長選舉,直轄市台南市長選舉,04,2022-11-26,臺南市,01,許忠信,M,1965,無黨籍及未經政黨推薦,38697,4.35,N,N,,,
2022,第 04 屆 直轄市台南市長選舉,直轄市台南市長選舉,04,2022-11-26,臺南市,02,林義豐,M,1948,無黨籍及未經政黨推薦,24606,2.77,N,N,,,
2022,第 04 屆 直轄市台南市長選舉,直轄市台南市長選舉,04,2022-11-26,臺南市,03,謝龍介,M,1961,中國國民黨,387731,43.63,N,N,,,
2022,第 04 屆 直轄市台南市長選舉,直轄市台南市長選舉,04,2022-11-26,臺南市,04,吳炳輝,M,1967,無黨籍及未經政黨推薦,3956,0.45,N,N,,,
2022,第 04 屆 直轄市台南市長選舉,直轄市台南市長選舉,04,2022-11-26,臺南市,05,黃偉哲,M,1963,民主進步黨,433684,48.8,Y,Y,,,
2022,第 03 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,03,2022-11-26,桃園市,01,張善政,M,1954,中國國民黨,557572,52.02,Y,N,,,
2022,第 03 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,03,2022-11-26,桃園市,02,賴香伶,F,1968,台灣民眾黨,54926,5.12,N,N,,,
2022,第 03 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,03,2022-11-26,桃園市,03,鄭運鵬,M,1973,民主進步黨,428983,40.03,N,N,,,
2022,第 03 屆 直轄市桃園市長選舉,直轄市桃園市長選舉,03,2022-11-26,桃園市,04,鄭寶清,M,1955,無黨籍及未經政黨推薦,30282,2.83,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺北縣,01,石瓊文,M,1948,無黨籍及未經政黨推薦,7089,0.54,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺北縣,02,尤清,M,1942,民主進步黨,613236,46.38,Y,Y,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺北縣,03,李勝峰,M,1953,新黨,215789,16.32,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺北縣,04,蔡勝邦,M,1945,中國國民黨,475581,35.97,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,臺北縣,05,張馥堂,M,1943,無黨籍及未經政黨推薦,10433,0.79,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,宜蘭縣,01,張軍堂,M,1947,中國國民黨,82208,40.41,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,宜蘭縣,02,李秀綺,F,1951,無黨籍及未經政黨推薦,4282,2.1,N,N,,,
1993,第 12 屆 縣(市)長選舉,縣(市)長選舉,12,1993-11-27,宜蘭縣,03,游錫錕,M,1948,民主進步黨,116959,57.49,Y,Y,,,
